,title
0,Australia Might Be Sending A Defector Back To North Korea
1,"He's spent half his life in Australia, but now the government is fighting to be able to deport him after he was convicted of drug offences.  "
2,26 Kitchen Products I Swear You'll Actually Use
3,"A mini skillet, can strainer, microwave pasta cooker, and 23 other somewhat random kitchen tools you'll actually put to good use xe2x80x94 promise!  "
4,Guillermo del Palacio
5,Only A Real Eagle Eye Will Be Able To Find The Hidden Details In These 8 Pictures
6,Get out that magnifying glass!  
7,Can You Guess Which Millennial Word Came First?
8,Did we sext before we got crunk?  
9,Geoffrey Rush May Never Work Again And Is Seeking 
10," In Damages, Court Hears"
11,"On the final day of the trial, lawyers argued over the question: if Rush wins, how much should he get?  "
12,Geoffrey Rush may never work again and should receive a 
13,This Is Why Australia Has A Parliamentary Inquiry Into Sleep
14,Australians really need to go to bed.  
15,Design A Cake And We'll Guess If You're Single
16,Show off your taste in cake.  
17,Great! You're almost there! Check your inbox and confirm your subscription now!
18,11 Celebrity Throwback Posts You Need To See From This Week
19,The Spice Girls and one of their most famous fans kick off this week's #TBT!  
20,29 Cleaning Products Under $10 That Are Surprisingly Effective
21,"Small investments, big results.  "
22,"Jimmy Kimmel (Jokingly) Told People Kid Rock Won His Senate Race, And You'll Say SMH"
23,I did see it on my phone.
24,Dirk Gently's Holistic Detective Agency
25,Emotionally? Certainly not.
26,"Tell Us What Month Your Ex Was Born In, And We'll Reveal What They ~Taught~ You"
27,"Thank 'em, next!  "
28,You'll Only Laugh At These Tweets If You Have A Messed Up Sense Of Humor
29,"These are good, but they're also bad.  "
30,Answer These 7 Food Questions And We'll Tell You What Your Bank Account Balance Will Be A Year From Now
31,How much bread will be acquired?  
32,Eat At Panera To Reveal Where You Should Travel Next
33,Yummm!  
34,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
35,17 Hilarious Tweets About The 
36,Why were the parents worse than their kids??  
37,"Erin Chack, Joanna Borns"
38,We Found The Hot Duck In Central Park And BOY Was He Hot!
39,This duck is hot as hell.  
40,"Kneonlight / Getty Images *This is not the Central Park duck. This is just an example of a Mandarin duck, OK?"
41,"21 Products That Will Make You Say, "
42,I'll Take Two Please!
43,"Why buy one of a great thing, when you could have TWO of a great thing?  "
44,People Are Sharing The Weirdest Things They've Done With Their Partners And It's Adorable
45,Sometimes we lift our shirts up and press our nipples together.
46,This Guy Saving A Turtle On An Australian Beach Will Melt Your Heart
47,"He came out on top, down under.  "
0,"Matt Stopera, Brian Galindo"
1,20 Things Gays In The Early 2000s Wanted But Were Too Scared Or Closeted To Ask For Or Get
2,I still want all of these.  
3,"Scott Gries / Getty Images It was probably/definitely low-key toxic chemicals humans should never eat, but I wanted to spray that shit like Cheez-Whiz down my throat."
4,33 Current Trends We're Deeeeefinitely Gonna Cringe At In A Few Years
5,Imagine Dragons is the new Nickelback.
6,27 piadas ruins para vocxc3xaa mandar no zap agora mesmo
7,Porque a gente gosta mesmo xc3xa9 de piada ruim.  
8,The 19 Best Red Forman 
9,My Foot In Your Ass
10,I wish I could kick this post into my own ass.  
11,29 Gadgets That'll Make Cooking Way More Fun
12,"A polar bear trivet, monstrous pasta calendar, snotty egg separator, and more cool kitchen gadgets you'll be excited to use every day.  "
13,Sanduxc3xadche de frango frito com molho cremoso
14,Jxc3xa1 falei que tem um molho cremoso que deixa esse lanche melhor ainda?  
15,"Maior lobista de ministxc3xa9rio para Magno Malta xc3xa9 a cantora Lauriete, sua mulher"
16,"Magno Malta deve sim ser ministro, nxc3xa3o por suas convicxc3xa7xc3xb5es religiosas ou amizade com o presidente, mas pela dedicaxc3xa7xc3xa3o xc3xa0s suas bandeiras, xc3xa0s causas que defende com coragem."
17,Magno Malta foi o primeiro cara a acreditar que Bolsonaro poderia ser presidente do Brasil
18,", disse Malafaia em vxc3xaddeo postado ontem. "
19,Become A Meat-Shredding Superhero With This $13 Kitchen Tool
20,"It is shreds-day, my dudes.  "
21,Prince Harry Opened Up About Prince Charles Stepping In To Walk Meghan Down The Aisle
22,"xe2x80x9cHe immediately said, 'Yes, of course, I'll do whatever Meghan needs, and I'm here to support you."
23,"BBC Meghan's father, Thomas, pulled out of attending the wedding only several days before. In a statement released by Meghan, she said : "
24,I have always cared for my father and hope he can be given the space he needs to focus on his health.
25,Can You Name These Celebrity Wax Figures?
26,Try not to let them give you nightmares.  
27,31 Simple Products Thatll Help Declutter Your Life
28,Minimalist and multi-tasking products that are just freakin neat.  
29,Prince Charles Had A Perfectly Diplomatic Response To Which Country Makes The Best Jollof Rice
30,It's basically now a peacekeeping mission.  
31,33 Photos Of The 2018 Victorias Secret Fashion Show To Look At While You Wait For It To Air
32,These women are incredible specimens.  
33,Thomas Concordia / Getty Images 
34,"I'm looking forward to [supporting] women and being connected to different projects which support women around the world,"
35,Order A Drink At Starbucks And We'll Guess Which Season Matches Your Personality
36,What will your order reveal?  
37,People Have Been Stabbed In An Incident On Melbourne's Bourke Street
38,The major Melbourne CBD street shut down on Friday afternoon after police responded to reports of a car fire.  
39,These Conjoined Baby Twins Have Been Separated
40,"The head of paediatric surgery at The Royal Children's Hospital, Melbourne, said their mother is "
41,.  
42,The Coroner's Report Details How 10 People Died Of Thunderstorm Asthma In Victoria In 2016
43,There was an average of 15 minutes from the onset of severe symptoms to when the patients entered cardiac arrest  
44,Australia Might Be Sending A Defector Back To North Korea
45,"He's spent half his life in Australia, but now the government is fighting to be able to deport him after he was convicted of drug offences.  "
46,26 Kitchen Products I Swear You'll Actually Use
47,"A mini skillet, can strainer, microwave pasta cooker, and 23 other somewhat random kitchen tools you'll actually put to good use xe2x80x94 promise!  "
48,Guillermo del Palacio
49,Only A Real Eagle Eye Will Be Able To Find The Hidden Details In These 8 Pictures
50,Get out that magnifying glass!  
0,31 Kitchen Items Nearly As Gorgeous As You Are (Nearly!)
1,What's a nice kettle like you doing on a dirty stovetop like this?  
2,What Kind Of Tea Are You?
3,Which dried up leaves best represent you?  
4,Mireya Gonzxc3xa1lez
5,16 Extremely Cute And Fun Kid-Friendly Breakfast & Lunch Ideas
6,And for those who are still kids at heart!  
7,"pequeocio.com Make a peanut butter, jam-filled or ham croissant sandwich, then carve up cute little claws out of red peppers, strawberries, or apple slices. So cute!"
8,17 Times Jimmy Kimmel Got Celebs To Answer Personal Questions On His Show
9,I still go on PornHub.
10, xe2x80x94 Kanye West  
11,36 Pieces Of Clothing Thatll Get You Voted Best-Dressed
12,Are you a waitress? 'Cause you's about to be serving looks!  
13,Por que abandonei minha longa rotina de cuidados com a pele sem olhar para trxc3xa1s
14,"Por que nxc3xb3s, coletivamente, nxc3xa3o aceitamos a ideia radical de que uma espinha, uma ruga ou um sinal aparecerxc3xa1 aqui e ali e nxc3xa3o precisamos gastar rios de dinheiro tentando consertar algo que xc3xa9, na verdade, apenas o nosso corpo funcionando normalmente? View Entixe2x80xa6"
15,Can You Name These Movies From Their Opening Line?
16,Were you paying attention during the first scene?  
17,21 Things From Nordstrom That People Actually Swear By
18,"Affordable fall coats, cozy sweaters, perfect winter boots, and everything else people love to get at Nordstrom!  "
19,29 Comics You Need To See If You're A Total Dog Person
20,"The comics, like all dogs, are very good.  "
21,30 Products That Any Super Organized Person Will Adore
22,You label your label maker. We get it.  
23,This Affordable Eye Gel Is Essential To Your Skincare Regimen
24,"I can personally relate to AT LEAST one of the following: puffiness, dark circles, fine lines, eye bags, and sagginess. Can you?  "
25,Everyone Is A Combo Of Two YouTube Stars xe2x80x94 Here Are Yours
26,Are you a Liza and Trisha? Maybe so.  
27,15 Words You Didn't Know Came From Classic Literature
28,Fun fact about words: We made them all up!  
29,"A Woman Dried Her Underwear Using An Airplane Vent, And You Will Never Want To Fly Again"
30,"Pretzels, peanuts, panties.  "
31,Ice-T Tweeted That He's Never Eaten A Bagel And It Quickly Escalated Into An Actual Fight
32,This is a wild ride.  
33,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
34,21 Actually Addictive Fall Vegetable Side Dishes
35,These veggies will steal the show.  
36,Bolsonaro diz que vai avaliar prova do Enem antes da aplicaxc3xa7xc3xa3o por causa de questxc3xa3o sobre gays
37,"xe2x80x9cEssa prova do Enem, vxc3xa3o falar que eu txc3xb4 implicando. Agora, pelo amor de Deus, esse tema, uma linguagem particular daquelas pessoas, que nxc3xb3s temos a ver com isso meu Deus do cxc3xa9u?xe2x80x9d, disse o presidente eleito em transmissxc3xa3o ao vivo por redes sociais. View Entirxe2x80xa6"
38,RIP My Savings Because Nordstrom Is Having A Huge Sale
