,0
0,30 Snuggly Scarves To Wrap Yourself Up In All Winter Long
1,"xe2x99xab Baby, it's cooooold outsiiiiiide! xe2x99xab  "
2,16 Tumblr Posts About Poop To Read While You're On The Toilet
3,People who study poop are called scatologists but I think they should be called turd nerds.
4,29 Pieces Of Furniture You Can Get On Sale At The Home Depot Right Now
5,PSA: The Home Depot sells gorgeous furniture xe2x80x94 and a lot of it is on sale!!!  
6,Which Celebrity Is The Same Height As You?
7,You could totally share clothes.  
8,29 Things You Didn't Know You Could Get At The Home Depot
9,Shop online and avoid those in-store sawdust sneezes!  
10,28 Weird Things You Never Noticed About 
11, But You'll Never Be Able To Unsee Now
12,"In all seven books, Harry Potter only bathes once.  "
13,"GeraltForOverwatch [According to Gamp's Law of Elemental Transformation, the wizards can't actually conjure food from nothing but they could certainly multiply it!]"
14,This $40 Humidifier Will Probably Change How You Sleep Forever
15,"Say goodbye to that dry, scratchy throat you're constantly waking up with.  "
16,This Memory Test Will Make You Question Your Entire Existence
17,"If you pass this test, you're a certified genius.  "
18,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
19,27 Things That'll Help You Level Up Your Life
20,"Little things to make your life easier, better, and happier!  "
21,Order Chinese Takeout In 7 Steps And We'll Give You A Fortune Cookie
22,Here's a little wisdom with your meal.  
23,Romance is dead. H/T r/Tinder.
24,Which Wild Animal Are You Most Like Based On The Vacation You Go On?
25,Adventure is out there!  
26,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
27,13 Of The Rarest Books In The World And Where To Find Them
28,Hint: The answer is always the library.  
29,Answer 6 Questions And We'll Reveal Which Cartoon Bunny You Are
30,"Bunny, rabbit, hare, idk anymore.  "
31,17 Toys That'll Make You Feel Weirder Than They Should
32,Fun fact: Gollum wears fishnet underwear.  
33,9 Surprising Tips And Tricks For Throwing The Ultimate Friendsgiving
34,Keep calm and party on.  
35,"Hannah Loewentheil/BuzzFeed Instead of ground breakfast sausage, I used chicken sausage and chopped it into small pieces. I sautxc3xa9ed the sausage with celery and onion, then add boxed stuffing, cheddar cheese, dried cranberries, chicken broth, and beaten eggs."
36,Tom Hiddleston Just Teased Some Big News About Loki And IDK What To Think Anymore
37,Disney I'm putting 
38," in quotes because most of them just disappeared and ceased to exist, and while it was super upsetting to watch, most of them will probably be back in the 2019 sequel."
39,This Mic Is Perfect For At-Home Karaoke And Other Get-Togethers
40,"Get ready to step up your next night in, get-together, road trip, or family function!  "
41,Kelsea Ballerini Epically Told Off Someone Who Commented On Her Weight
42,"I am a healthy, normal chick, which I pride myself on and work hard for."
