,0
0,"Green Bean Casserole Is The Best Part Of Thanksgiving, And If You Disagree, We're Gonna Take This Outside"
1,Cranberry sauce is dumb.  
2,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
3,Bake Some Cookies To Find Out Which Christmas Movie You Should Watch On Netflix
4,Christmas = cozy up with Netflix and don't leave the house.  
5,A Christmas Prince A Very Murray Christmas BoJack Horseman: Christmas Special Christmas Inheritance Gilmore Girls: A Year in The Life (Episode 1: 
6,73 Questions With Vogue
7," Video, And It's Practically Perfect In Every Way"
8,"And yes, the video is full of references to The Devil Wears Prada.  "
9,This Leading Coral Reef Research Centre Has Been Turned Down For Future Funding And Scientists Are Confused
10,"The IPCC report said that if global surface temperatures rise 2 degrees Celsius, xe2x80x9cvirtually allxe2x80x9d coral reefs will be lost.  "
11,Pick A Forever New Outfit And We'll Tell You When You'll Get Married
12,The quiz doesn't lie.  
13,"Getty Images / BuzzFeed Its As/Is week at BuzzFeed Oz! Were focusing on Aussie style and beauty posts for a whole week, click here to check out more."
14,"This Girl Tried To Guess If These People Do Drag, And You May Start Gagging"
15,"All tea, and a little bit of shade.  "
16,"Splurge On A Bunch Of Stuff, And We'll Reveal How Rich You'll Be"
17,Are you destined for millions or ~billions~?  
18,The Spice Girls Have Replaced 
19,"Stop right now, thank you very much."
20,21 Tweets That Dog Owners And ONLY Dog Owners Will Understand
21,These feelings are unique to dog owners ONLY.  
22,21 Holy Grail Fashion Websites That Every Australian Should Be Shopping On
23,The best places to spend all that hard-earned money.  
24,Teddy Geiger And Emily Hampshire Shared The Cutest Post-Engagement Photos
25,When she asked me if I wanted to spend the rest of our lives together I said... YES!
26,7 Things Everyone Who Takes Melatonin Should Know
27,The correct dose of melatonin is three times less than what most people are taking.  
28,"If Youve Done 13/17 Of These Things, Your Name Is Definitely Sarah"
29,WITH. AN. H.  
30,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
31," Remake Poster Just Dropped And It Will Make Every '80s Kid Scream, "
32,You've got a friend in...Chucky?!  
33," Memes That'll Make You Laugh, Then Shake Your Head"
34,I said DON'T SAY IT.  
35,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
36,brunomirandalencastre
37,Fantastic Beasts: The Crimes Of Grindelwald
38, Character Matches Your Personality
39,It's time for you to find out.  
40,xe5x85xacxe9x96x8bxe4xb8xadxe6xadxa2xe6x98xa0xe7x94xbbxe3x80x8cMMRxe3x83xafxe3x82xafxe3x83x81xe3x83xb3xe5x91x8axe7x99xbaxe3x80x8dxe3x80x81xe9x85x8dxe7xb5xa6xe5x85x83xe4xbbxa3xe8xa1xa8xe3x81x8cxe8xacx9dxe7xbdxaa xe7x9bxa3xe7x9dxa3xe3x83xbbxe3x83x97xe3x83xadxe3x83x87xe3x83xa5xe3x83xbcxe3x82xb5xe3x83xbcxe3x81xafxe7x96x91xe7xbexa9xe3x81xabxe5x9bx9exe7xadx94xe3x81x9bxe3x81x9a
