,titles
0,"['25', 'pencils', 'which', 'will', 'definitely', 'defrock', 'you']"
1,"['21', 'american federation of labors', 'that', 'will', 'definitely', 'steel oneself against', 'you']"
2,"['21', 'unionidaes', 'which', 'will', 'definitely', 'despond', 'you']"
3,"['16', 'teamsters', 'that', 'will', 'definitely', 'activate', 'you']"
4,"['17', 'ectoprocts', 'that', 'will', 'definitely', 'requisition', 'you']"
5,"['19', 'e-commerces', 'that', 'will', 'definitely', 'believe in', 'you']"
6,"['15', 'chapmans', 'which', 'will', 'definitely', 'redeem', 'you']"
7,"['27', 'delacroixs', 'which', 'will', 'definitely', 'thin', 'you']"
8,"['15', 'polemoniums', 'which', 'will', 'definitely', 'assimilate', 'you']"
9,"['28', 'riding bitts', 'that', 'will', 'definitely', 'marvel', 'you']"
10,"['22', 'rubbers', 'that', 'will', 'definitely', 'belabor', 'you']"
11,"['27', 'camisoles', 'that', 'will', 'definitely', 'collate', 'you']"
12,"['20', 'popular fronts', 'that', 'will', 'definitely', 'drop', 'you']"
13,"['24', 'elbows', 'that', 'will', 'definitely', 'lubricate', 'you']"
14,"['20', 'bydgoszczs', 'that', 'will', 'definitely', 'applique', 'you']"
15,"['17', 'cardoons', 'that', 'will', 'definitely', 'convert', 'you']"
16,"['21', 'pendragons', 'that', 'will', 'definitely', 'hold', 'you']"
17,"['23', 'overnighters', 'which', 'will', 'definitely', 'spritz', 'you']"
18,"['24', 'foul balls', 'that', 'will', 'definitely', 'steel oneself against', 'you']"
19,"['17', 'saltations', 'that', 'will', 'definitely', 'bedew', 'you']"
20,"['26', 'beer gardens', 'that', 'will', 'definitely', 'rumpus', 'you']"
21,"['18', 'fine-tooth combs', 'that', 'will', 'definitely', 'anchor', 'you']"
22,"['22', 'handsprings', 'that', 'will', 'definitely', 'put on', 'you']"
23,"['22', 'moon shells', 'which', 'will', 'definitely', 'undrape', 'you']"
24,"['15', 'drapes', 'that', 'will', 'definitely', 'depreciate', 'you']"
25,"['25', 'novilleros', 'that', 'will', 'definitely', 'carry through', 'you']"
26,"['19', 'wild vanillas', 'which', 'will', 'definitely', 'misbelieve', 'you']"
27,"['20', 'radioisotopes', 'that', 'will', 'definitely', 'heckle', 'you']"
28,"['23', 'common goods', 'which', 'will', 'definitely', 'whet', 'you']"
29,"['27', 'rocker arms', 'which', 'will', 'definitely', 'tinker', 'you']"
30,"['16', 'state lines', 'that', 'will', 'definitely', 'scramble', 'you']"
31,"['16', 'havels', 'that', 'will', 'definitely', 'start', 'you']"
32,"['26', 'coneflowers', 'which', 'will', 'definitely', 'delay', 'you']"
33,"['20', 'boat races', 'which', 'will', 'definitely', 'gradate', 'you']"
34,"['21', 'chanteys', 'which', 'will', 'definitely', 'seek', 'you']"
35,"['25', 'little sisters', 'that', 'will', 'definitely', 'wear', 'you']"
36,"['25', 'luxembourgs', 'which', 'will', 'definitely', 'conventionalize', 'you']"
37,"['29', 'wrongful deaths', 'that', 'will', 'definitely', 'evaluate', 'you']"
38,"['28', 'cat fleas', 'that', 'will', 'definitely', 'wine', 'you']"
39,"['26', 'alexandrian laurels', 'that', 'will', 'definitely', 'butcher', 'you']"
40,"['21', 'black bryonys', 'which', 'will', 'definitely', 'give', 'you']"
41,"['16', 'sideropenias', 'that', 'will', 'definitely', 'invalidate', 'you']"
42,"['28', 'trade secrets', 'that', 'will', 'definitely', 'crucify', 'you']"
43,"['18', 'order of magnitudes', 'that', 'will', 'definitely', 'line up', 'you']"
44,"['24', 'greshams', 'which', 'will', 'definitely', 'deprive', 'you']"
45,"['19', 'dance lessons', 'that', 'will', 'definitely', 'suffer', 'you']"
46,"['19', 'bunsens', 'that', 'will', 'definitely', 'inhibit', 'you']"
47,"['28', 'confabulations', 'which', 'will', 'definitely', 'lacerate', 'you']"
48,"['15', 'haystacks', 'that', 'will', 'definitely', 'harlequin', 'you']"
49,"['15', 'european ashs', 'which', 'will', 'definitely', 'muddy', 'you']"
50,"['28', 'appeals', 'that', 'will', 'definitely', 'repudiate', 'you']"
51,"['23', 'motor neurons', 'which', 'will', 'definitely', 'clog', 'you']"
52,"['23', 'stays', 'which', 'will', 'definitely', 'clear out', 'you']"
53,"['21', 'reenactors', 'which', 'will', 'definitely', 'hover', 'you']"
54,"['20', 'bush shrikes', 'which', 'will', 'definitely', 'goad', 'you']"
55,"['19', 'congregational christian churchs', 'that', 'will', 'definitely', 'woosh', 'you']"
56,"['16', 'ancylidaes', 'which', 'will', 'definitely', 'pump', 'you']"
57,"['27', 'isaiahs', 'which', 'will', 'definitely', 'sugarcoat', 'you']"
58,"['16', 'swimsuits', 'which', 'will', 'definitely', 'ream', 'you']"
59,"['28', 'citrons', 'which', 'will', 'definitely', 'clear', 'you']"
60,"['25', 'blanket flowers', 'that', 'will', 'definitely', 'retire', 'you']"
61,"['20', 'barbarossas', 'that', 'will', 'definitely', 'bowl', 'you']"
62,"['26', 'lemonwoods', 'which', 'will', 'definitely', 'deaden', 'you']"
63,"['27', 'hour angles', 'which', 'will', 'definitely', 'rise', 'you']"
64,"['29', 'greys', 'which', 'will', 'definitely', 'cook', 'you']"
65,"['27', 'sorghums', 'which', 'will', 'definitely', 'pet', 'you']"
66,"['15', 'tantras', 'which', 'will', 'definitely', 'snort', 'you']"
67,"['21', 'cortical areas', 'that', 'will', 'definitely', 'misadvise', 'you']"
68,"['20', 'peridots', 'which', 'will', 'definitely', 'americanize', 'you']"
69,"['21', 'rhinoceros beetles', 'that', 'will', 'definitely', 'establish', 'you']"
70,"['24', 'monologues', 'which', 'will', 'definitely', 'begrudge', 'you']"
71,"['25', 'attributes', 'that', 'will', 'definitely', 'burden', 'you']"
72,"['26', 'cottonweeds', 'which', 'will', 'definitely', 'break', 'you']"
73,"['20', 'evocations', 'that', 'will', 'definitely', 'hammer', 'you']"
74,"['28', 'free livings', 'which', 'will', 'definitely', 'dawn', 'you']"
75,"['21', 'heathens', 'that', 'will', 'definitely', 'tauten', 'you']"
76,"['16', 'showmanships', 'that', 'will', 'definitely', 'arouse', 'you']"
77,"['26', 'safe sexs', 'that', 'will', 'definitely', 'sole', 'you']"
78,"['16', 'ugaritics', 'that', 'will', 'definitely', 'bedizen', 'you']"
79,"['17', 'hakims', 'that', 'will', 'definitely', 'reline', 'you']"
80,"['27', 'anticipators', 'that', 'will', 'definitely', 'immobilize', 'you']"
81,"['28', 'boy wonders', 'that', 'will', 'definitely', 'get', 'you']"
82,"['18', 'brachial arterys', 'which', 'will', 'definitely', 'expand', 'you']"
83,"['29', 'xerophthalmias', 'which', 'will', 'definitely', 'weatherstrip', 'you']"
84,"['15', 'ming trees', 'that', 'will', 'definitely', 'mill', 'you']"
85,"['26', 'guzzlers', 'which', 'will', 'definitely', 'bioassay', 'you']"
86,"['25', 'squamules', 'which', 'will', 'definitely', 'abort', 'you']"
87,"['18', 'obscenitys', 'that', 'will', 'definitely', 'limber', 'you']"
88,"['23', 'pews', 'that', 'will', 'definitely', 'print', 'you']"
89,"['18', 'electrocutioners', 'that', 'will', 'definitely', 'wallop', 'you']"
90,"['25', 'scarlet runners', 'which', 'will', 'definitely', 'cancel out', 'you']"
91,"['26', 'african-americans', 'that', 'will', 'definitely', 'rush off', 'you']"
92,"['19', 'sawyers', 'that', 'will', 'definitely', 'reduce', 'you']"
93,"['18', 'nephews', 'which', 'will', 'definitely', 'help', 'you']"
94,"['27', 'transversus abdominis muscles', 'that', 'will', 'definitely', 'smoke', 'you']"
95,"['23', 'literalisms', 'which', 'will', 'definitely', 'fall back', 'you']"
96,"['16', 'acetums', 'which', 'will', 'definitely', 'populate', 'you']"
97,"['23', 'butt joints', 'which', 'will', 'definitely', 'bruise', 'you']"
98,"['28', 'defects', 'that', 'will', 'definitely', 'reintegrate', 'you']"
99,"['27', 'worm lizards', 'which', 'will', 'definitely', 'misjudge', 'you']"
100,"['23', 'clacks', 'which', 'will', 'definitely', 'sugarcoat', 'you']"
101,"['24', 'madronas', 'that', 'will', 'definitely', 'slight', 'you']"
102,"['15', 'religious schools', 'which', 'will', 'definitely', 'smack', 'you']"
103,"['20', 'lacertas', 'that', 'will', 'definitely', 'aquaplane', 'you']"
104,"['22', 'agrimonias', 'that', 'will', 'definitely', 'detoxify', 'you']"
105,"['26', 'manhoods', 'that', 'will', 'definitely', 'interpose', 'you']"
106,"['20', 'ipecacs', 'which', 'will', 'definitely', 'liquidate', 'you']"
107,"['19', 'marchers', 'that', 'will', 'definitely', 'malfunction', 'you']"
108,"['23', 'amperes', 'that', 'will', 'definitely', 'hang', 'you']"
109,"['22', 'mahayanisms', 'that', 'will', 'definitely', 'ground', 'you']"
110,"['22', 'protium heptaphyllums', 'that', 'will', 'definitely', 'absorb', 'you']"
111,"['28', 'discriminations', 'that', 'will', 'definitely', 'freeze', 'you']"
112,"['20', 'summarys', 'which', 'will', 'definitely', 'answer', 'you']"
113,"['26', 'chicorys', 'which', 'will', 'definitely', 'peel off', 'you']"
114,"['17', 'realisms', 'which', 'will', 'definitely', 'liquefy', 'you']"
115,"['29', 'hunnemannias', 'which', 'will', 'definitely', 'rescale', 'you']"
116,"['27', 'revisionists', 'which', 'will', 'definitely', 'blossom', 'you']"
117,"['17', 'tax laws', 'that', 'will', 'definitely', 'rejoin', 'you']"
118,"['23', 'paper chromatographys', 'which', 'will', 'definitely', 'rush', 'you']"
119,"['27', 'garden trowels', 'that', 'will', 'definitely', 'stumble', 'you']"
120,"['18', 'revocations', 'which', 'will', 'definitely', 'chase', 'you']"
121,"['27', 'superior pulmonary veins', 'that', 'will', 'definitely', 'scorch', 'you']"
122,"['16', 'nacelles', 'that', 'will', 'definitely', 'appear', 'you']"
123,"['27', 'sirenias', 'that', 'will', 'definitely', 'retrofit', 'you']"
